learning_rate,0.01,training_epoch,10,batch_size,100,display_step,50,conv1_kernel_num,32,conv2_kernel_num,32,fc1_units_num,250,fc2_units_num,150
train_step,train_loss,train_step,train_accuracy
50,2.3193483,50,0.09
100,2.318263,100,0.08
150,2.31415,150,0.21
200,2.3085606,200,0.2
250,2.302706,250,0.16
300,2.2931104,300,0.18
350,2.2433498,350,0.2
400,2.189072,400,0.19
450,2.1878207,450,0.17
500,2.1222823,500,0.26
550,2.06242,550,0.28
600,2.0879958,600,0.22
650,2.0193117,650,0.2
700,2.0797036,700,0.23
750,1.9893721,750,0.32
800,1.9324429,800,0.27
850,2.0004058,850,0.19
900,1.9780222,900,0.3
950,1.9596287,950,0.34
1000,1.8966755,1000,0.34
1050,2.0082364,1050,0.24
1100,1.8469921,1100,0.34
1150,1.9295318,1150,0.29
1200,1.8238801,1200,0.38
1250,1.9505405,1250,0.37
1300,1.9482032,1300,0.32
1350,1.8330077,1350,0.31
1400,1.791046,1400,0.36
1450,1.9391024,1450,0.23
1500,1.7661064,1500,0.35
1550,1.8229009,1550,0.38
1600,1.7495327,1600,0.35
1650,1.6757859,1650,0.47
1700,1.7277086,1700,0.32
1750,1.7785032,1750,0.41
1800,1.7824293,1800,0.36
1850,1.9748461,1850,0.25
1900,1.6886803,1900,0.39
1950,1.7783476,1950,0.39
2000,1.7104503,2000,0.37
2050,1.8374519,2050,0.3
2100,1.7303083,2100,0.41
2150,1.7181743,2150,0.33
2200,1.7811899,2200,0.39
2250,1.7238756,2250,0.32
2300,1.6623831,2300,0.45
2350,1.7325778,2350,0.38
2400,1.677272,2400,0.44
2450,1.7194254,2450,0.4
2500,1.7476261,2500,0.37
2550,1.6176181,2550,0.46
2600,1.7221698,2600,0.39
2650,1.7082682,2650,0.44
2700,1.6487386,2700,0.48
2750,1.58161,2750,0.5
2800,1.7654228,2800,0.36
2850,1.6610291,2850,0.43
2900,1.6759502,2900,0.47
2950,1.5776724,2950,0.51
3000,1.841335,3000,0.3
3050,1.6167467,3050,0.46
3100,1.6752319,3100,0.42
3150,1.5801433,3150,0.49
3200,1.5887499,3200,0.43
3250,1.7209588,3250,0.41
3300,1.5839784,3300,0.42
3350,1.6281286,3350,0.45
3400,1.6880423,3400,0.36
3450,1.4833288,3450,0.52
3500,1.4881866,3500,0.51
3550,1.6300765,3550,0.49
3600,1.6987516,3600,0.36
3650,1.5188186,3650,0.46
3700,1.6227837,3700,0.46
3750,1.554442,3750,0.49
3800,1.7374083,3800,0.41
3850,1.5792681,3850,0.46
3900,1.6706947,3900,0.47
3950,1.6068823,3950,0.47
4000,1.3827556,4000,0.52
4050,1.4786825,4050,0.51
4100,1.4718239,4100,0.52
4150,1.4734046,4150,0.52
4200,1.5747894,4200,0.53
4250,1.531781,4250,0.47
4300,1.5721979,4300,0.55
4350,1.6622862,4350,0.47
4400,1.6343508,4400,0.45
4450,1.461468,4450,0.5
4500,1.319482,4500,0.52
4550,1.6162566,4550,0.5
4600,1.3249576,4600,0.57
4650,1.5709252,4650,0.5
4700,1.3807881,4700,0.6
4750,1.3937888,4750,0.47
4800,1.4543067,4800,0.5
4850,1.4631108,4850,0.51
4900,1.4567063,4900,0.54
4950,1.300188,4950,0.65
5000,1.3163397,5000,0.59
Accuracy on Test Example:,0.5409
