learning_rate,0.001,training_epoch,6,batch_size,100,display_step,20,conv1_kernel_num,32,conv2_kernel_num,32,fc1_units_num,192,fc2_units_num,96
train_step,train_loss,train_step,train_accuracy
20,2.3019552,20,0.15
40,2.3020453,40,0.09
60,2.3029592,60,0.1
80,2.3028307,80,0.11
100,2.303017,100,0.1
120,2.3024583,120,0.13
140,2.3023982,140,0.12
160,2.3029945,160,0.11
180,2.3030279,180,0.07
200,2.302095,200,0.08
220,2.3012533,220,0.08
240,2.3013434,240,0.13
260,2.3012152,260,0.09
280,2.3005013,280,0.18
300,2.303286,300,0.08
320,2.3029106,320,0.11
340,2.3006916,340,0.15
360,2.3022234,360,0.07
380,2.300624,380,0.2
400,2.3029346,400,0.09
420,2.3034582,420,0.06
440,2.3036628,440,0.07
460,2.3026214,460,0.09
480,2.3032017,480,0.14
500,2.3020976,500,0.11
520,2.3022256,520,0.1
540,2.301998,540,0.1
560,2.3016922,560,0.13
580,2.3019865,580,0.09
600,2.3033829,600,0.08
620,2.302149,620,0.09
640,2.2993014,640,0.21
660,2.3011887,660,0.11
680,2.3004522,680,0.2
700,2.3012898,700,0.09
720,2.3023674,720,0.14
740,2.3016841,740,0.13
760,2.301906,760,0.13
780,2.3013482,780,0.17
800,2.3017404,800,0.08
820,2.301793,820,0.15
840,2.3016565,840,0.14
860,2.3018348,860,0.09
880,2.3035848,880,0.1
900,2.299927,900,0.16
920,2.3021798,920,0.14
940,2.3008819,940,0.14
960,2.302483,960,0.12
980,2.3020217,980,0.11
1000,2.3012333,1000,0.14
1020,2.3031564,1020,0.15
1040,2.3006463,1040,0.17
1060,2.3010623,1060,0.16
1080,2.3003519,1080,0.11
1100,2.3014753,1100,0.11
1120,2.3027766,1120,0.12
1140,2.3018186,1140,0.14
1160,2.3007007,1160,0.11
1180,2.3013303,1180,0.17
1200,2.3002841,1200,0.14
1220,2.3022285,1220,0.15
1240,2.3004408,1240,0.16
1260,2.3012486,1260,0.17
1280,2.3013887,1280,0.14
1300,2.2996573,1300,0.15
1320,2.2997735,1320,0.12
1340,2.30185,1340,0.12
1360,2.3008058,1360,0.12
1380,2.2991142,1380,0.16
1400,2.30092,1400,0.17
1420,2.3003118,1420,0.15
1440,2.301254,1440,0.13
1460,2.301148,1460,0.09
1480,2.3010676,1480,0.16
1500,2.3002405,1500,0.15
1520,2.3009858,1520,0.13
1540,2.3017173,1540,0.19
1560,2.3009226,1560,0.13
1580,2.300208,1580,0.17
1600,2.2987573,1600,0.18
1620,2.3009596,1620,0.13
1640,2.2990503,1640,0.2
1660,2.301621,1660,0.08
1680,2.300502,1680,0.19
1700,2.2991695,1700,0.18
1720,2.302198,1720,0.14
1740,2.2997236,1740,0.19
1760,2.300727,1760,0.12
1780,2.300114,1780,0.09
1800,2.3004117,1800,0.14
1820,2.3007805,1820,0.16
1840,2.2996914,1840,0.14
1860,2.3004446,1860,0.19
1880,2.3008697,1880,0.15
1900,2.301239,1900,0.1
1920,2.301259,1920,0.19
1940,2.3016105,1940,0.08
1960,2.3009577,1960,0.08
1980,2.3014328,1980,0.12
2000,2.302471,2000,0.11
2020,2.299247,2020,0.18
2040,2.30112,2040,0.14
2060,2.2999978,2060,0.19
2080,2.298486,2080,0.18
2100,2.300746,2100,0.11
2120,2.300065,2120,0.14
2140,2.2988844,2140,0.19
2160,2.298179,2160,0.18
2180,2.300194,2180,0.11
2200,2.3002787,2200,0.11
2220,2.2993486,2220,0.16
2240,2.2990866,2240,0.14
2260,2.2988055,2260,0.15
2280,2.3003945,2280,0.16
2300,2.3000262,2300,0.17
2320,2.2993555,2320,0.19
2340,2.299559,2340,0.12
2360,2.299772,2360,0.16
2380,2.2993712,2380,0.14
2400,2.2996812,2400,0.12
2420,2.2997885,2420,0.15
2440,2.299986,2440,0.13
2460,2.2996485,2460,0.18
2480,2.298177,2480,0.21
2500,2.300582,2500,0.12
2520,2.3002622,2520,0.14
2540,2.300024,2540,0.18
2560,2.298068,2560,0.16
2580,2.2967763,2580,0.19
2600,2.2966917,2600,0.27
2620,2.2994845,2620,0.18
2640,2.3009603,2640,0.16
2660,2.297689,2660,0.16
2680,2.3002594,2680,0.11
2700,2.2993708,2700,0.18
2720,2.298606,2720,0.18
2740,2.2994168,2740,0.18
2760,2.299903,2760,0.16
2780,2.2978506,2780,0.18
2800,2.298078,2800,0.22
2820,2.2977989,2820,0.2
2840,2.2979186,2840,0.17
2860,2.2975147,2860,0.23
2880,2.2982707,2880,0.15
2900,2.3002899,2900,0.18
2920,2.2982578,2920,0.21
2940,2.2983468,2940,0.16
2960,2.2963297,2960,0.17
2980,2.2962317,2980,0.28
3000,2.298312,3000,0.18
Accuracy on Test Example:,0.1738
