learning_rate,0.01,training_epoch,6,batch_size,100,display_step,20,conv1_kernel_num,32,conv2_kernel_num,32,fc1_units_num,192,fc2_units_num,96
train_step,train_loss,train_step,train_accuracy
20,2.3034391,20,0.06
40,2.300908,40,0.1
60,2.3037083,60,0.07
80,2.302783,80,0.08
100,2.3023968,100,0.11
120,2.2998052,120,0.18
140,2.3007476,140,0.14
160,2.3015678,160,0.11
180,2.2990212,180,0.19
200,2.3000495,200,0.15
220,2.3002784,220,0.14
240,2.29677,240,0.2
260,2.296422,260,0.21
280,2.297328,280,0.19
300,2.2959297,300,0.21
320,2.2922916,320,0.2
340,2.2951756,340,0.21
360,2.2935739,360,0.14
380,2.288903,380,0.24
400,2.290074,400,0.09
420,2.2850955,420,0.15
440,2.2837286,440,0.2
460,2.2725224,460,0.18
480,2.2687936,480,0.16
500,2.2643974,500,0.24
520,2.245387,520,0.23
540,2.2545235,540,0.16
560,2.2182224,560,0.23
580,2.2144837,580,0.16
600,2.2037487,600,0.17
620,2.1959634,620,0.2
640,2.1584542,640,0.18
660,2.0845556,660,0.18
680,2.0931482,680,0.29
700,2.1626167,700,0.2
720,2.0902045,720,0.16
740,2.1888485,740,0.17
760,2.0823214,760,0.17
780,2.0413706,780,0.26
800,2.1192756,800,0.19
820,2.0500567,820,0.22
840,2.052169,840,0.2
860,2.070177,860,0.23
880,2.0584292,880,0.22
900,2.126415,900,0.22
920,2.037968,920,0.23
940,1.9993564,940,0.22
960,2.0559075,960,0.19
980,2.1168022,980,0.21
1000,2.1031213,1000,0.14
1020,1.9564846,1020,0.25
1040,1.9781512,1040,0.22
1060,1.9294989,1060,0.24
1080,2.0579154,1080,0.25
1100,1.8944016,1100,0.25
1120,2.0041387,1120,0.23
1140,2.094024,1140,0.22
1160,1.9298016,1160,0.32
1180,1.8861061,1180,0.25
1200,1.9927255,1200,0.22
1220,2.0482473,1220,0.31
1240,1.9005083,1240,0.33
1260,1.8741535,1260,0.29
1280,1.9458426,1280,0.31
1300,1.8303351,1300,0.42
1320,1.8829284,1320,0.28
1340,1.9338874,1340,0.26
1360,1.9162849,1360,0.34
1380,1.926434,1380,0.29
1400,1.8196198,1400,0.35
1420,1.9044572,1420,0.33
1440,1.8151011,1440,0.35
1460,1.8418117,1460,0.35
1480,1.8054612,1480,0.32
1500,1.8549417,1500,0.34
1520,1.7951782,1520,0.31
1540,1.7768159,1540,0.36
1560,1.7925491,1560,0.32
1580,1.8346772,1580,0.36
1600,1.7903609,1600,0.32
1620,1.6738011,1620,0.38
1640,1.7117941,1640,0.38
1660,1.6837366,1660,0.35
1680,1.8594842,1680,0.31
1700,1.8160282,1700,0.37
1720,1.8186595,1720,0.31
1740,1.7019137,1740,0.36
1760,1.7756115,1760,0.35
1780,1.6665165,1780,0.41
1800,1.7643341,1800,0.37
1820,1.820349,1820,0.43
1840,1.7518655,1840,0.42
1860,1.6997801,1860,0.4
1880,1.8823303,1880,0.29
1900,1.5978888,1900,0.47
1920,1.7994381,1920,0.33
1940,1.6460048,1940,0.37
1960,1.7607144,1960,0.39
1980,1.7501149,1980,0.37
2000,1.7062901,2000,0.43
2020,1.6924548,2020,0.38
2040,1.7205669,2040,0.44
2060,1.7031987,2060,0.37
2080,1.7249303,2080,0.35
2100,1.7799939,2100,0.39
2120,1.7825325,2120,0.44
2140,1.8319559,2140,0.37
2160,1.6699638,2160,0.33
2180,1.7246066,2180,0.39
2200,1.6262048,2200,0.48
2220,1.6768603,2220,0.38
2240,1.7496135,2240,0.38
2260,1.7284199,2260,0.35
2280,1.5933509,2280,0.4
2300,1.7191994,2300,0.43
2320,1.5623306,2320,0.52
2340,1.62169,2340,0.38
2360,1.7237303,2360,0.4
2380,1.6558106,2380,0.42
2400,1.7491642,2400,0.34
2420,1.6678727,2420,0.42
2440,1.5861232,2440,0.52
2460,1.5266424,2460,0.5
2480,1.906319,2480,0.3
2500,1.6727173,2500,0.44
2520,1.6329472,2520,0.42
2540,1.7183272,2540,0.4
2560,1.6336311,2560,0.39
2580,1.4804763,2580,0.47
2600,1.6582091,2600,0.41
2620,1.6128267,2620,0.41
2640,1.8809322,2640,0.36
2660,1.696457,2660,0.34
2680,1.7052361,2680,0.38
2700,1.6083934,2700,0.43
2720,1.6652286,2720,0.33
2740,1.5778892,2740,0.41
2760,1.5468354,2760,0.45
2780,1.6807824,2780,0.4
2800,1.529354,2800,0.45
2820,1.6189454,2820,0.4
2840,1.658112,2840,0.48
2860,1.6108977,2860,0.38
2880,1.6885467,2880,0.44
2900,1.613671,2900,0.43
2920,1.5288364,2920,0.45
2940,1.7198932,2940,0.44
2960,1.7693849,2960,0.37
2980,1.6770016,2980,0.42
3000,1.5955348,3000,0.49
Accuracy on Test Example:,0.4443
